ssp,time,tas,ensemble,model
ssp126,2015,13.852785,NEX,ACCESS-ESM1-5
ssp126,2016,12.256922,NEX,ACCESS-ESM1-5
ssp126,2017,11.948452,NEX,ACCESS-ESM1-5
ssp126,2018,13.072837,NEX,ACCESS-ESM1-5
ssp126,2019,14.146255,NEX,ACCESS-ESM1-5
ssp126,2020,14.390355,NEX,ACCESS-ESM1-5
ssp126,2021,14.614726,NEX,ACCESS-ESM1-5
ssp126,2022,12.540553,NEX,ACCESS-ESM1-5
ssp126,2023,13.707932,NEX,ACCESS-ESM1-5
ssp126,2024,12.648251,NEX,ACCESS-ESM1-5
ssp126,2025,14.159456,NEX,ACCESS-ESM1-5
ssp126,2026,14.350211,NEX,ACCESS-ESM1-5
ssp126,2027,14.232917,NEX,ACCESS-ESM1-5
ssp126,2028,12.478481,NEX,ACCESS-ESM1-5
ssp126,2029,13.752234,NEX,ACCESS-ESM1-5
ssp126,2030,12.947527,NEX,ACCESS-ESM1-5
ssp126,2031,12.995177,NEX,ACCESS-ESM1-5
ssp126,2032,13.702161,NEX,ACCESS-ESM1-5
ssp126,2033,13.515419,NEX,ACCESS-ESM1-5
ssp126,2034,14.228134,NEX,ACCESS-ESM1-5
ssp126,2035,14.951176,NEX,ACCESS-ESM1-5
ssp126,2036,15.059201,NEX,ACCESS-ESM1-5
ssp126,2037,14.517509,NEX,ACCESS-ESM1-5
ssp126,2038,14.447959,NEX,ACCESS-ESM1-5
ssp126,2039,14.078772,NEX,ACCESS-ESM1-5
ssp126,2040,13.794697,NEX,ACCESS-ESM1-5
ssp126,2041,14.833829,NEX,ACCESS-ESM1-5
ssp126,2042,16.165586,NEX,ACCESS-ESM1-5
ssp126,2043,13.883423,NEX,ACCESS-ESM1-5
ssp126,2044,13.684123,NEX,ACCESS-ESM1-5
ssp126,2045,13.783276,NEX,ACCESS-ESM1-5
ssp126,2046,14.035542,NEX,ACCESS-ESM1-5
ssp126,2047,13.743413,NEX,ACCESS-ESM1-5
ssp126,2048,14.219459,NEX,ACCESS-ESM1-5
ssp126,2049,14.989076,NEX,ACCESS-ESM1-5
ssp126,2050,14.449857,NEX,ACCESS-ESM1-5
ssp126,2051,13.626288,NEX,ACCESS-ESM1-5
ssp126,2052,14.36376,NEX,ACCESS-ESM1-5
ssp126,2053,13.571954,NEX,ACCESS-ESM1-5
ssp126,2054,14.072399,NEX,ACCESS-ESM1-5
ssp126,2055,13.330913,NEX,ACCESS-ESM1-5
ssp126,2056,13.222724,NEX,ACCESS-ESM1-5
ssp126,2057,14.882875,NEX,ACCESS-ESM1-5
ssp126,2058,14.522397,NEX,ACCESS-ESM1-5
ssp126,2059,14.972712,NEX,ACCESS-ESM1-5
ssp126,2060,13.198778,NEX,ACCESS-ESM1-5
ssp126,2061,14.003349,NEX,ACCESS-ESM1-5
ssp126,2062,13.788075,NEX,ACCESS-ESM1-5
ssp126,2063,13.638476,NEX,ACCESS-ESM1-5
ssp126,2064,14.074462,NEX,ACCESS-ESM1-5
ssp126,2065,12.538867,NEX,ACCESS-ESM1-5
ssp126,2066,14.766429,NEX,ACCESS-ESM1-5
ssp126,2067,14.367845,NEX,ACCESS-ESM1-5
ssp126,2068,13.411125,NEX,ACCESS-ESM1-5
ssp126,2069,14.876743,NEX,ACCESS-ESM1-5
ssp126,2070,14.7266445,NEX,ACCESS-ESM1-5
ssp126,2071,13.07014,NEX,ACCESS-ESM1-5
